Title:,"Time Series, Area-Averaged of SO2 Surface Mass Concentration (ENSEMBLE) monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,2003-12-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
User Bounding Box:,"-123.4815,32.1606,-112.8907,37.0385"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-12-01T00:00:00Z&endtime=2023-12-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-123.4815,32.1606,-112.8907,37.0385&data=M2TMNXAER_5_12_4_SO2SMASS&dataKeyword=SO2&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_SO2SMASS):, 1000000000000000
first,second
time, mean_M2TMNXAER_5_12_4_SO2SMASS
12/1/03 0:00,3.36398842e-09
1/1/04 0:00,3.60822239e-09
2/1/04 0:00,2.65380717e-09
3/1/04 0:00,3.0461047e-09
4/1/04 0:00,2.713473e-09
5/1/04 0:00,2.73067058e-09
6/1/04 0:00,3.05043169e-09
7/1/04 0:00,3.3386931e-09
8/1/04 0:00,3.37311779e-09
9/1/04 0:00,3.28330474e-09
10/1/04 0:00,3.07739367e-09
11/1/04 0:00,3.2822296e-09
12/1/04 0:00,3.22608473e-09
1/1/05 0:00,3.1409626e-09
2/1/05 0:00,2.69743539e-09
3/1/05 0:00,2.77404366e-09
4/1/05 0:00,2.81910673e-09
5/1/05 0:00,3.02556558e-09
6/1/05 0:00,2.95665692e-09
7/1/05 0:00,3.41930861e-09
8/1/05 0:00,3.2376346e-09
9/1/05 0:00,3.27533511e-09
10/1/05 0:00,3.13157966e-09
11/1/05 0:00,3.31645755e-09
12/1/05 0:00,3.34469807e-09
1/1/06 0:00,2.80830026e-09
2/1/06 0:00,2.86097168e-09
3/1/06 0:00,2.56066413e-09
4/1/06 0:00,2.3911797e-09
5/1/06 0:00,2.77707191e-09
6/1/06 0:00,2.99606895e-09
7/1/06 0:00,2.79697887e-09
8/1/06 0:00,3.09748827e-09
9/1/06 0:00,3.05445313e-09
10/1/06 0:00,3.00290681e-09
11/1/06 0:00,3.28916516e-09
12/1/06 0:00,2.96171376e-09
1/1/07 0:00,3.05243475e-09
2/1/07 0:00,2.72819767e-09
3/1/07 0:00,2.96436142e-09
4/1/07 0:00,2.69515033e-09
5/1/07 0:00,2.585411e-09
6/1/07 0:00,2.92595193e-09
7/1/07 0:00,2.98338532e-09
8/1/07 0:00,3.18255311e-09
9/1/07 0:00,2.77991163e-09
10/1/07 0:00,2.89973401e-09
11/1/07 0:00,3.36351169e-09
12/1/07 0:00,2.60292676e-09
1/1/08 0:00,2.35770958e-09
2/1/08 0:00,2.57160448e-09
3/1/08 0:00,2.57043054e-09
4/1/08 0:00,2.44126386e-09
5/1/08 0:00,2.15545337e-09
6/1/08 0:00,2.66572964e-09
7/1/08 0:00,3.10183479e-09
8/1/08 0:00,3.17293791e-09
9/1/08 0:00,2.9007885e-09
10/1/08 0:00,2.8012328e-09
11/1/08 0:00,2.76977219e-09
12/1/08 0:00,2.86689117e-09
1/1/09 0:00,2.5574376e-09
2/1/09 0:00,2.51222776e-09
3/1/09 0:00,2.65825961e-09
4/1/09 0:00,2.34282904e-09
5/1/09 0:00,2.52277688e-09
6/1/09 0:00,2.35292985e-09
7/1/09 0:00,3.00688385e-09
8/1/09 0:00,4.10333456e-09
9/1/09 0:00,3.55537244e-09
10/1/09 0:00,2.64339106e-09
11/1/09 0:00,3.15078919e-09
12/1/09 0:00,3.06509684e-09
1/1/10 0:00,2.79940982e-09
2/1/10 0:00,2.66922151e-09
3/1/10 0:00,2.54863686e-09
4/1/10 0:00,2.46960408e-09
5/1/10 0:00,2.16975482e-09
6/1/10 0:00,2.59666688e-09
7/1/10 0:00,2.96660585e-09
8/1/10 0:00,2.92190405e-09
9/1/10 0:00,3.19131543e-09
10/1/10 0:00,2.41599429e-09
11/1/10 0:00,2.53582066e-09
12/1/10 0:00,2.9965066e-09
1/1/11 0:00,2.77292167e-09
2/1/11 0:00,2.42422948e-09
3/1/11 0:00,2.47254639e-09
4/1/11 0:00,2.29574249e-09
5/1/11 0:00,2.26206875e-09
6/1/11 0:00,2.61972977e-09
7/1/11 0:00,3.09848303e-09
8/1/11 0:00,2.9770606e-09
9/1/11 0:00,3.19291216e-09
10/1/11 0:00,3.09829229e-09
11/1/11 0:00,2.90921198e-09
12/1/11 0:00,3.10220738e-09
1/1/12 0:00,3.1213554e-09
2/1/12 0:00,2.46769027e-09
3/1/12 0:00,2.41232412e-09
4/1/12 0:00,2.35034414e-09
5/1/12 0:00,2.45491849e-09
6/1/12 0:00,2.71895084e-09
7/1/12 0:00,2.84911672e-09
8/1/12 0:00,3.0436893e-09
9/1/12 0:00,3.09226111e-09
10/1/12 0:00,2.94504288e-09
11/1/12 0:00,3.31136096e-09
12/1/12 0:00,2.81030399e-09
1/1/13 0:00,2.49992915e-09
2/1/13 0:00,2.66136602e-09
3/1/13 0:00,2.82872969e-09
4/1/13 0:00,2.34791808e-09
5/1/13 0:00,2.2282074e-09
6/1/13 0:00,2.86637736e-09
7/1/13 0:00,3.19517568e-09
8/1/13 0:00,3.0808498e-09
9/1/13 0:00,2.8712297e-09
10/1/13 0:00,2.90638424e-09
11/1/13 0:00,3.0105578e-09
12/1/13 0:00,2.8601308e-09
1/1/14 0:00,3.34839445e-09
2/1/14 0:00,3.01082737e-09
3/1/14 0:00,2.44991605e-09
4/1/14 0:00,2.49266008e-09
5/1/14 0:00,2.36359288e-09
6/1/14 0:00,2.78214918e-09
7/1/14 0:00,2.90650948e-09
8/1/14 0:00,2.94728331e-09
9/1/14 0:00,2.8820637e-09
10/1/14 0:00,3.26103322e-09
11/1/14 0:00,2.8882754e-09
12/1/14 0:00,2.94717029e-09
1/1/15 0:00,3.5619443e-09
2/1/15 0:00,3.37060735e-09
3/1/15 0:00,3.00604208e-09
4/1/15 0:00,2.60747002e-09
5/1/15 0:00,2.08926032e-09
6/1/15 0:00,3.1202827e-09
7/1/15 0:00,2.74058642e-09
8/1/15 0:00,3.81526766e-09
9/1/15 0:00,3.81920007e-09
10/1/15 0:00,2.69335731e-09
11/1/15 0:00,2.41936626e-09
12/1/15 0:00,2.74920464e-09
1/1/16 0:00,2.8260676e-09
2/1/16 0:00,2.73661582e-09
3/1/16 0:00,2.6813789e-09
4/1/16 0:00,2.39020626e-09
5/1/16 0:00,2.03171613e-09
6/1/16 0:00,3.01152214e-09
7/1/16 0:00,3.62470698e-09
8/1/16 0:00,4.43139037e-09
9/1/16 0:00,3.32554428e-09
10/1/16 0:00,3.1146894e-09
11/1/16 0:00,3.02189651e-09
12/1/16 0:00,3.07333559e-09
1/1/17 0:00,2.44096876e-09
2/1/17 0:00,2.86421131e-09
3/1/17 0:00,3.00365222e-09
4/1/17 0:00,2.51790877e-09
5/1/17 0:00,2.41277287e-09
6/1/17 0:00,2.86119151e-09
7/1/17 0:00,3.55098129e-09
8/1/17 0:00,3.15629434e-09
9/1/17 0:00,2.53679988e-09
10/1/17 0:00,3.05641024e-09
11/1/17 0:00,3.23891625e-09
12/1/17 0:00,4.54675231e-09
1/1/18 0:00,3.22668692e-09
2/1/18 0:00,2.73883316e-09
3/1/18 0:00,2.43216158e-09
4/1/18 0:00,2.81863799e-09
5/1/18 0:00,2.08326956e-09
6/1/18 0:00,2.86255464e-09
7/1/18 0:00,3.25552141e-09
8/1/18 0:00,4.03467437e-09
9/1/18 0:00,3.1766485e-09
10/1/18 0:00,2.61275335e-09
11/1/18 0:00,3.28247451e-09
12/1/18 0:00,3.03640335e-09
1/1/19 0:00,2.62782018e-09
